ticker,name,period,total_assets,total_equity,stockholders_equity,retained_earnings,short_term_debt,long_term_debt,bps,equity_ratio,revenue,operating_income,ordinary_income,net_income,basic_eps,roe,roa,operating_cf,investing_cf,financing_cf,capex,cash_equivalents,operating_cf_margin,dps,dividend_payment,buyback,payout_ratio,total_return_ratio,doe,price,shares_outstanding,market_cap,per,pbr,dividend_yield,total_liabilities,interest_bearing_debt,net_cash,net_cash_ratio
1382,,2025-06,1069690000.0,756207000.0,756207000.0,224626000.0,,,992.85,70.7,2412711000.0,38066000.0,39466000.0,24712000.0,32.44,3.27,2.31,16111000.0,-19533000.0,-41989000.0,-21198000.0,306105000.0,0.67,50.0,38084000.0,66000.0,154.1,154.4,5.0,,761652,,,,,313483000.0,,-7378000.0,
1383,,2025-10,6058767000.0,2174388000.0,2102447000.0,795082000.0,650000000.0,1406721000.0,1322.13,34.9,7303461000.0,-32624000.0,-28887000.0,48327000.0,30.22,2.28,0.8,329887000.0,-573568000.0,196533000.0,-640019000.0,873211000.0,4.52,10.0,16101000.0,,33.1,33.1,0.7,,1590196,,,,,3884379000.0,2056721000.0,-3011168000.0,
1384,,2025-03,19216000000.0,14153000000.0,13966000000.0,12157000000.0,,1134000000.0,1673.03,73.7,19397000000.0,1925000000.0,2001000000.0,2181000000.0,257.83,15.41,11.35,3216000000.0,-2258000000.0,-663000000.0,-2129000000.0,4194000000.0,16.58,70.0,338000000.0,,27.1,27.1,4.5,,8347728,,,,,5063000000.0,1134000000.0,-869000000.0,
138A,,2025-11,2652516000.0,1310100000.0,1310100000.0,506996000.0,,624052000.0,1320.67,49.4,2861834000.0,225861000.0,221672000.0,102461000.0,103.29,7.82,3.86,290255000.0,23458000.0,40514000.0,-244752000.0,1388132000.0,10.14,40.0,39680000.0,,38.7,,3.1,,991996,,,,,1342416000.0,624052000.0,45716000.0,
1400,,2023-12,3184986000.0,2637992000.0,2268339000.0,-789479000.0,2600000.0,83314000.0,193.32,79.0,2659008000.0,-8765000.0,38731000.0,107199000.0,8.24,4.26,3.37,202435000.0,-143416000.0,,-982000.0,1326806000.0,7.61,,,,,,,,11733597,,,,,546994000.0,85914000.0,779812000.0,
1401,,2025-05,4878389000.0,3696628000.0,3681456000.0,3274610000.0,,,518.32,75.8,4713002000.0,626038000.0,672365000.0,472287000.0,64.96,12.78,9.68,567895000.0,-43987000.0,-233686000.0,-100754000.0,1827413000.0,12.05,13.0,58867000.0,172738000.0,20.0,56.6,2.6,1391.0,7102670,9879813970.0,21.41317733990148,2.672655720294279,0.9345794392523363,1181761000.0,,645652000.0,0.06535062319599526
1407,,2025-08,148546000000.0,36537000000.0,35890000000.0,39130000000.0,23963000000.0,70108000000.0,913.36,24.4,47250000000.0,8646000000.0,7961000000.0,5357000000.0,135.07,14.79,3.61,3263000000.0,-5459000000.0,10064000000.0,-3651000000.0,35707000000.0,6.91,65.0,2577000000.0,,48.1,48.1,7.4,,39294473,,,,,112009000000.0,94071000000.0,-76302000000.0,
1413,,2021-12,81859141000.0,27685862000.0,23645982000.0,24807567000.0,4097000000.0,10613200000.0,1869.49,28.9,122503650000.0,6258966000.0,6252227000.0,3144157000.0,248.66,13.29,3.84,2813806000.0,-1196512000.0,-4000606000.0,-2831000000.0,15980031000.0,2.3,100.0,1200892000.0,,40.2,40.2,5.6,,12648359,,,,,54173279000.0,14710200000.0,-38193248000.0,
1414,,2025-06,129155000000.0,106392000000.0,102712000000.0,80472000000.0,,,514.51,81.4,90712000000.0,20794000000.0,21139000000.0,15061000000.0,73.01,14.33,11.66,9473000000.0,464000000.0,-12697000000.0,-948000000.0,32523000000.0,10.44,43.88,7677000000.0,5001000000.0,60.1,93.3,8.7,,199630716,,,,,22763000000.0,,9760000000.0,
1417,,2025-03,537739000000.0,269877000000.0,245748000000.0,201526000000.0,42596000000.0,40495000000.0,2914.94,48.6,578599000000.0,27985000000.0,27470000000.0,17179000000.0,189.4,6.57,3.19,18049000000.0,-9370000000.0,-6412000000.0,-10301000000.0,51350000000.0,3.12,75.0,6433000000.0,4987000000.0,39.6,68.6,2.7,,84306366,,,,,267862000000.0,83091000000.0,-216512000000.0,
